President,Born Date,In Date,Age in,Out Date,Age out,Dead Date,Age dead,Periodo de postgobierno
Manuel Ávila Camacho,1897-04-24,1940-12-01,43,1946-11-30,49,1955-10-13,58,"8 años, 317 días"
Miguel Alemán Valdés,1900-09-29,1946-12-01,46,1952-11-30,52,1983-05-14,82,"30 años, 165"
Adolfo Ruiz Cortines,1889-12-30,1952-12-01,62,1958-11-30,68,1973-12-03,83,"15 años, 3 días"
Adolfo López Mateos,1909-05-26,1958-12-01,49,1964-11-30,55,1969-09-22,60,"4 años, 296 días"
Gustavo Díaz Ordaz,1911-03-12,1964-12-01,53,1970-11-30,59,1979-07-15,68,"8 años, 227 días"
Luis Echeverría,1922-01-17,1970-12-01,48,1976-11-30,54,2022-07-08,100,"45 años, 220 días"
José López Portillo,1920-06-16,1976-12-01,56,1982-11-30,62,2004-02-17,83,"21 años, 79 días"
Miguel de la Madrid,1934-12-12,1982-12-01,47,1988-11-30,53,2012-04-01,77,"23 años, 122 días"
Carlos Salinas,1948-04-03,1988-12-01,40,1994-11-30,46,,0,"29 años, 9 meses y 3 días"
Ernesto Zedillo,1951-12-27,1994-12-01,42,2000-11-30,48,,0,"23 años, 9 meses y 3 días"
Vicente Fox,1942-07-02,2000-12-01,58,2006-11-30,64,,0,"17 años, 9 meses y 3 días"
Felipe Calderón,1962-08-18,2006-12-01,44,2012-11-30,50,,0,"11 años, 9 meses y 3 días"
Enrique Peña Nieto,1966-07-20,2012-12-01,46,2018-11-30,52,,0,"5 años, 9 meses y 3 días"
Andrés Manuel López Obrador,1953-11-13,2018-12-01,65,2024-09-30,-,,0,-
Claudia Sheinbaum Pardo,1962-06-24,2024-10-01,62,,-,,0,-
